slice_timing_correction/ref_slice/middle;distorsion_correction;signal_modeling/temporal_noise_autocorrelation/FAST;slice_timing_correction;signal_modeling/temporal_noise_autocorrelation/AR1;spatial_normalization/algorithm/linear;motion_correction_realignment/register_to/mean;signal_modeling/hrf/temporal_derivs;spatial_normalization/algorithm/DARTEL;signal_modeling/hrf/canonical;signal_modeling/nuisance_regressors;spatial_normalization/bias_regularisation/extremely_light;motion_correction_realignment/register_to/first;spatial_normalization/bias_regularisation;spatial_normalization/template/MNI152_nonlinear;coregistration/source_target/func_on_anat;spatial_normalization/bias_regularisation/light;coregistration/cost_function/entropy_correlation_coefficient;coregistration/cost_function/normalised_mutual_information;coregistration/cost_function/mutual_information;signal_modeling/hrf/temporal_dispersion_derivs;spatial_normalization/bias_regularisation/very_light;coregistration/cost_function/normalised_cross_correlation;slice_timing_correction/ref_slice;signal_modeling/nuisance_regressors/comp_cor;coregistration/source_target/anat_on_func;spatial_normalization/interpolation/nearest_neighbour;spatial_normalization/bias_regularisation/heavy;signal_modeling/nuisance_regressors/motion;spatial_normalization/template/MNI152_linear;spatial_normalization/bias_regularisation/medium;slice_timing_correction/ref_slice/first;spatial_normalization/bias_fwhm;spatial_smoothing/fwhm;spatial_normalization/interpolation/trilinear;spatial_normalization/template/MNI305;spatial_normalization/interpolation/bspline;id;pearson_from_ref;spearman_from_ref;pearson_from_mean;spearman_from_mean;cluster
False;False;False;True;True;False;False;False;False;False;True;0;True;False;False;False;0;False;False;False;True;0;True;True;False;True;True;0;24;False;0;True;0;6;False;False;False;fe1837036ac05c3c9d098b544f61dd684436d2395840f99da0edaf492061bf9e;0.1051236015737739;0.0771618092017057;0.5359749341489146;0.42839649686840403;11.0
False;False;False;True;True;False;False;True;False;False;True;0;True;False;False;False;0;False;False;False;False;0;True;True;False;True;True;0;6;False;0;True;0;6;False;False;False;fd8a807b07215bce3617885071525fbb58d2faff1396969c65cf5d114a55b802;0.1134942786541785;0.0903977294829992;0.6265156115670744;0.5196543550676943;10.0
False;False;False;False;True;False;False;False;False;False;True;0;True;False;False;False;0;False;False;False;True;0;True;False;False;True;False;0;24;False;0;False;0;6;True;False;False;f90f7471236583cf7ca63a94605bef0ed50bffab470de9e42c00e4f4ec69f645;0.1707086264024956;0.1360220045629313;0.6442496408415663;0.537209964118984;8.0
True;False;True;True;False;False;False;True;False;False;True;0;True;False;False;False;0;False;False;False;False;0;True;True;False;True;False;0;18;False;0;False;0;6;False;False;True;f77958a1973e5b3ccf0fa410625f93023f3d0d2f630416dc3bb14c27e7017f3c;0.0728729983959882;0.0478704868413778;0.5506513135914892;0.4274363007346702;9.0
False;False;True;False;False;False;True;True;False;False;True;0;False;False;False;True;0;False;False;False;False;0;True;False;False;False;False;0;6;False;0;False;0;6;True;False;False;f5ab73f349797f0e96b76a3055730b0947a7feeb659d0c0709a2b4ded11c03f9;0.0393939851733738;0.0396985884416558;0.6917110657318933;0.5741396053356345;14.0
False;False;True;True;False;False;False;False;False;True;True;0;True;False;False;False;0;False;False;False;False;0;True;True;False;True;False;0;6;False;0;True;0;6;False;False;True;f5931229acb539b750bce1203d0d22d8e04bfb46274d9ee9a66000049bf2b26b;0.1035360017975668;0.0788905266737204;0.6043879876738927;0.49306942561357575;10.0
True;False;False;True;True;False;True;False;False;True;False;0;False;False;False;True;0;False;False;False;False;0;True;True;False;False;False;0;0;False;0;False;0;6;False;False;True;f3cf4077d544bec4951c2921ba1b9d8cab2682bf05d66d407764cc6f0117b7f8;0.0315546369999414;0.0377977966795441;0.6744167659563536;0.5587302622573267;14.0
True;False;False;True;True;False;True;False;False;False;False;0;False;False;False;True;0;False;False;False;True;0;True;True;False;False;False;0;0;False;0;False;0;6;False;False;True;f301befaabed48b058967bce4f90b84da3b9d87b788d5fd700bd95e5448e23c6;0.0616626773036855;0.0490691411796998;0.663409553073235;0.5596841904336167;12.0
False;False;True;False;False;False;False;False;False;False;False;0;True;False;False;True;0;False;False;False;True;0;True;False;False;False;True;0;0;False;0;False;0;6;False;False;False;ed55c60aa2c51022baf4fa85371c78da1d5b4902e16e74895dceb2504b7c7b5e;0.0568821448148726;0.0466227150492717;0.6663505219863969;0.5612374122672266;12.0
False;False;True;False;False;False;False;False;False;False;True;0;True;False;False;False;0;False;False;False;True;0;True;False;False;True;False;0;18;False;0;False;0;6;False;False;True;ece62945fb745de06a4245fa7dad9f6cc01ecda3bb69a6ea3b9a7fe42c41ac7f;0.1355426770468329;0.102109064958644;0.6236103134628865;0.5098561678036477;8.0
True;False;False;True;True;False;True;False;False;True;True;0;False;False;False;False;0;False;False;False;False;0;True;True;False;True;True;0;18;False;0;False;0;6;False;False;False;e82de971e70aff3333fd6b3a3131d249fc0e33deef500067a0b9f98c223a33e4;0.126280909930527;0.1035823657528978;0.6250610082122052;0.5088027610653665;9.0
False;False;False;True;True;False;False;False;False;False;False;0;True;False;False;False;0;False;False;False;True;0;True;True;False;True;False;0;0;False;0;True;0;6;True;False;False;e6e9dc802e46d06edf257a8db31d2114d527a424bad741544bacff21e8b656ef;0.1629443978490478;0.1242330593802864;0.5913092541968157;0.4891590835005249;8.0
